Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.5175713,88.35733046,Ballygunge,11790,8803,9538,10824,10814,13314,12028,10588,43011
0,22.51702941,88.35732517,Ballygunge,11205,8994,9747,11083,11094,13519,12855,11248,43106
0,22.51622396,88.35644236,Ballygunge,11790,9206,9879,10949,10975,12727,11868,10598,43034
0,22.51570661,88.35352083,Ballygunge,10620,9583,10321,11451,11603,13516,13507,12446,43266
0,22.51569435,88.35497895,Ballygunge,12960,9336,10094,11354,11410,13513,13221,12015,43203
0,22.51595301,88.35643971,Ballygunge,11439,9299,10032,11222,11340,13089,12927,11869,43114
0,22.51813284,88.35500273,Ballygunge,10620,9018,9735,10970,11069,13186,13036,11957,43271
0,22.51921907,88.35472166,Ballygunge,13311,9344,10056,11106,11247,12733,12998,11880,43238
0,22.51870169,88.35180008,Ballygunge,12960,9141,9669,10738,10876,12491,12862,11808,43191
0,22.51789131,88.35150054,Ballygunge,11205,8988,9693,10807,10893,12415,12602,11748,43322
0,22.51735921,88.35032877,Ballygunge,15534,9304,10025,11256,11291,13205,13280,12268,43210
0,22.51844054,88.35063093,Ballygunge,12960,9245,9928,10974,11213,12693,12805,11746,43264
0,22.51788641,88.3520838,Ballygunge,14130,9126,9779,10862,10985,12462,12199,11170,43268
0,22.51762526,88.35091465,Ballygunge,12375,9086,9808,10918,11126,13189,13174,11918,43190
0,22.51681243,88.35090675,Ballygunge,12375,8941,9612,10705,10780,12362,12647,11707,43148
0,22.51680264,88.35207326,Ballygunge,14130,9091,9809,11066,11098,12809,12488,11392,43257
0,22.51653169,88.35207062,Ballygunge,10620,9189,9907,11021,11074,12730,12614,11454,43255
0,22.51626809,88.35119311,Ballygunge,14130,9044,9704,10819,10860,12702,12521,11300,43254
0,22.51867964,88.35442475,Ballygunge,15534,9514,10137,11095,11075,13076,12669,11366,43269
0,22.51451941,88.36575834,Ballygunge,12960,9465,10074,11156,11321,13326,11607,11097,42807
0,22.51506624,88.36518042,Ballygunge,12960,8804,9233,10088,9888,11660,11127,10137,42944
