Class,latitude,longitude,Location,Guidance Value(Rs. per square foot),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,22.51781452,88.32816755,Alipore,12960,8717,9097,9931,9754,12969,11873,10579,43499
0,22.51755079,88.32729007,Alipore,13311,8604,9206,10207,10299,13725,12472,11012,43481
0,22.51836363,88.32729783,Alipore,14130,8673,9226,10248,10131,12587,11830,10499,43331
0,22.51835401,88.32846436,Alipore,11205,8919,9585,10581,10629,12417,12300,11170,43346
0,22.51890552,88.32730301,Alipore,12375,8636,9310,10308,10184,12972,12484,10959,43325
0,22.5188959,88.32846954,Alipore,12375,9359,10090,11149,11418,13604,12854,10940,43313
0,22.51862977,88.32788369,Alipore,13311,9152,9807,10809,10859,13102,13344,11919,43318
0,22.51834919,88.32904763,Alipore,12960,8782,9525,10754,10862,12873,12211,11023,43430
0,22.5215885,88.33053692,Alipore,12960,8544,9248,10308,10296,12310,11455,10234,43466
0,22.52077084,88.33111241,Alipore,12960,8793,9439,10844,10879,12550,12709,11376,43267
0,22.51942093,88.33051616,Alipore,11205,8582,9163,10290,10212,12949,11700,10375,43416
0,22.5186081,88.33050838,Alipore,11205,8372,8990,10039,9902,13168,11507,9980,43398
0,22.51914517,88.33109684,Alipore,12960,8288,8938,10108,9970,12287,11194,9799,43378
0,22.51941129,88.3316827,Alipore,13311,8439,9082,10549,10433,14791,12738,10942,43387
0,22.51887422,88.33109424,Alipore,10620,8354,8984,10174,10059,12234,12108,11239,43447
0,22.5188694,88.33167751,Alipore,11205,8527,9122,10096,10104,12909,12246,10877,43554
0,22.52079012,88.32877931,Alipore,10620,8608,9288,10335,10261,13035,11341,9963,43361
0,22.52079734,88.3279044,Alipore,12960,8566,9363,10546,10647,12647,12342,11193,43261
0,22.52133923,88.32790958,Alipore,11205,8439,9110,10249,10218,12105,12056,10985,43340
0,22.52622108,88.3273729,Alipore,12375,8630,9295,10238,10200,12006,11093,10049,43307
0,22.5251397,88.32707089,Alipore,12960,8783,9413,10638,10596,12880,11972,10813,43537
0,22.52595254,88.32707866,Alipore,15534,9219,9947,10954,11036,12388,13268,12017,43378
0,22.52567197,88.32824266,Alipore,11205,8496,9136,10255,10170,12713,11758,10358,43427
0,22.52512285,88.32911242,Alipore,14130,8960,9609,10655,10689,13306,12453,10970,43537
0,22.52377775,88.32793288,Alipore,15534,8398,9096,10202,10027,12569,11336,9948,43447
0,22.52405832,88.3267689,Alipore,12960,8434,9115,10284,10164,12388,11975,10933,43429
0,22.52324067,88.32734442,Alipore,12960,8586,9281,10648,10688,13530,13280,11531,43411
0,22.52269396,88.32792253,Alipore,11205,8609,9289,10430,10502,13028,11775,10688,43422
0,22.5235068,88.32793029,Alipore,12375,8285,9004,10162,9969,12695,11008,9770,43423
0,22.52322864,88.32880263,Alipore,11205,8286,9003,10202,10125,12297,11928,10113,43401
0,22.52268434,88.32908909,Alipore,12960,8581,9420,10394,10404,12072,10964,9832,43428
0,22.52267711,88.32996401,Alipore,12960,8520,9325,10506,10443,14083,13247,11177,43487
0,22.52348754,88.33026344,Alipore,12960,8600,9317,10550,10466,13051,11589,10281,43362
0,22.52457614,88.32969052,Alipore,11205,8629,9296,10381,10338,13197,12420,11073,43394
0,22.52404148,88.32881041,Alipore,15534,8672,9473,10574,10563,13905,13374,11757,43391
0,22.5237633,88.32968275,Alipore,12960,8716,9413,10549,10585,12507,11914,10885,43359
0,22.52484227,88.33027641,Alipore,11439,8488,8994,9892,9651,12350,11741,10486,43381
0,22.52483262,88.33144299,Alipore,11790,8400,8971,10072,9930,12067,10656,9594,43458
0,22.52239652,88.33112798,Alipore,12375,8537,9244,10422,10483,12568,12194,11102,43486
0,22.52321177,88.33084413,Alipore,11205,8472,9174,10419,10367,13216,12254,10825,43365
0,22.51672351,88.32903208,Alipore,11439,8839,9578,10574,10778,12755,12032,10907,43527
0,22.51672833,88.32844882,Alipore,14130,8842,9471,10547,10592,12934,12601,11610,43490
0,22.52460021,88.32677407,Alipore,11790,8586,9363,10502,10476,12466,12585,11486,43492
0,22.52351883,88.32647208,Alipore,12960,8717,9500,10671,10737,13242,12129,10711,43359
0,22.52482055,88.33290122,Alipore,14130,9146,9695,10881,10993,13436,12573,11319,43584
0,22.52130791,88.33170088,Alipore,15534,8521,9230,10261,10191,13407,12166,10403,43375
0,22.51706623,88.35295077,Ballygunge,15534,8713,9348,10275,10231,12310,12793,11767,43827
0,22.51705888,88.35382565,Ballygunge,12960,8844,9535,10852,10857,13646,12849,11525,43667
0,22.51732001,88.3549948,Ballygunge,13311,8527,9216,10405,10300,12852,12182,10930,43674
0,22.5162534,88.35294286,Ballygunge,15534,9090,9681,10682,10728,11990,11902,11046,43865
0,22.51651699,88.35382037,Ballygunge,11790,8786,9471,10413,10406,12253,12628,11457,43752
0,22.51650718,88.35498688,Ballygunge,12960,8903,9608,10604,10667,12287,12462,11370,43697
0,22.5167683,88.35615602,Ballygunge,15534,8857,9421,10368,10285,12542,12464,11356,43684
0,22.51732492,88.35441155,Ballygunge,11439,8886,9612,10786,10972,12875,13186,11850,43630
0,22.51758359,88.35587232,Ballygunge,12960,9493,10308,11334,11583,13104,12947,12182,43721
0,22.5175713,88.35733046,Ballygunge,11205,9046,9353,10211,9916,13042,11804,10723,43613
0,22.51702941,88.35732517,Ballygunge,15534,8924,9428,10369,10246,12787,12133,10771,43624
0,22.51622396,88.35644236,Ballygunge,14130,8853,9454,10388,10301,12411,11591,10432,43642
0,22.51570661,88.35352083,Ballygunge,11205,9089,9806,10774,10828,12681,13032,11793,43798
0,22.51569435,88.35497895,Ballygunge,10620,9188,9847,10892,10970,13038,13268,12128,43769
0,22.51595301,88.35643971,Ballygunge,12375,9068,9743,10768,10869,12564,12760,11587,43682
0,22.51813284,88.35500273,Ballygunge,12960,8788,9184,10018,9900,12225,12446,11321,43772
0,22.51921907,88.35472166,Ballygunge,15534,9280,9736,10449,10403,12050,12341,11319,43787
0,22.51870169,88.35180008,Ballygunge,12960,8892,9507,10376,10327,11970,12263,11328,43726
0,22.51789131,88.35150054,Ballygunge,15534,8996,9397,10195,10096,11563,12470,11459,43850
0,22.51735921,88.35032877,Ballygunge,12960,9230,9738,10702,10762,12576,13757,12628,43742
0,22.51844054,88.35063093,Ballygunge,12960,9212,9838,10840,11035,12748,12611,11684,43737
0,22.51788641,88.3520838,Ballygunge,11205,8811,9285,10172,10100,11429,11869,11015,43809
0,22.51762526,88.35091465,Ballygunge,12960,9096,9373,9957,9766,11683,12350,11423,43751
0,22.51681243,88.35090675,Ballygunge,15534,8615,9221,10249,10207,11737,11763,10823,43686
0,22.51680264,88.35207326,Ballygunge,12960,8866,9503,10507,10523,12222,12190,11417,43857
0,22.51653169,88.35207062,Ballygunge,12375,8761,9443,10395,10396,11990,11967,11117,43867
0,22.51626809,88.35119311,Ballygunge,15534,8747,9383,10358,10359,12183,12121,10815,43790
0,22.51867964,88.35442475,Ballygunge,11439,9127,9473,10174,10042,12217,12308,11133,43710
0,22.51451941,88.36575834,Ballygunge,11205,8588,9229,10360,10237,11768,11865,10773,43316
