Class,latitude,longitude,Location,Guidance Value(Rs. per square meter),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,13.01075367,77.58076257,Malleshwaram,482300,8778,9128,10330,10562,14660,13992,12762,45686
0,13.01048266,77.58075976,Malleshwaram,205000,8769,9256,10510,11441,14778,14504,12521,45734
0,13.00994615,77.5802014,Malleshwaram,156030,9130,9864,10647,11653,13224,13445,11904,45953
0,13.0099489,77.57992503,Malleshwaram,204300,8223,8706,9534,9739,14409,12154,10525,45917
0,13.01021991,77.57992783,Malleshwaram,204300,8882,9127,10385,10260,14801,13168,12155,45913
0,13.00995715,77.5790959,Malleshwaram,278600,8422,8716,9664,9679,15085,12693,10999,45423
0,13.01076742,77.57938068,Malleshwaram,278600,10026,10487,11207,11832,14494,15230,14459,45879
0,13.01104117,77.57910711,Malleshwaram,278600,8610,8959,10226,10339,14459,13828,12532,45730
0,13.01076192,77.57993344,Malleshwaram,204300,8402,8683,9663,9950,13789,12489,10808,45923
0,13.01103017,77.58021262,Malleshwaram,177000,9778,10109,11403,12149,14393,13797,12709,45701
0,13.01103292,77.57993624,Malleshwaram,344500,8307,8656,9512,9694,14554,13250,11737,45708
0,12.97492666,77.63980969,Indiranagar,390040,9316,9839,11040,11966,14532,14344,12848,45940
0,12.97438467,77.63980397,Indiranagar,177000,8747,9235,10296,10749,12598,13101,12203,46100
0,12.97437626,77.64063294,Indiranagar,162500,9059,9758,11117,11720,13687,14281,13150,45839
0,12.97436503,77.64173823,Indiranagar,482300,8139,8398,9444,9590,16035,12772,10588,45799
0,12.97437064,77.64118558,Indiranagar,278600,8560,9196,9694,10431,12653,13167,12507,45803
0,12.97546864,77.63981541,Indiranagar,204300,8460,8911,10651,11039,13561,13919,12928,45936
0,12.97547425,77.63926276,Indiranagar,177000,8995,9484,10944,11766,13714,14207,12959,45951
0,12.9738483,77.6392456,Indiranagar,482300,9430,9975,10829,11448,12455,12871,12342,46185
0,12.97383427,77.64062721,Indiranagar,286020,8669,8856,10561,10899,13230,12474,11170,46042
0,12.97329229,77.64062149,Indiranagar,204300,9065,9476,10556,11411,13263,13109,12055,46066
0,12.9727475,77.64089209,Indiranagar,203000,9611,10754,10930,12131,13893,15561,14712,46086
0,12.97381743,77.64228515,Indiranagar,205000,8183,8466,9907,9943,13382,12598,11399,45897
0,12.97434818,77.64339617,Indiranagar,177000,8161,8480,9528,10139,13499,12695,11334,45747
0,12.97408,77.64311698,Indiranagar,163000,8316,8925,9850,10238,14265,13409,12194,45739
0,12.9765133,77.64369541,Indiranagar,203000,8803,9449,9770,10409,13791,13357,12244,45625
0,12.97679553,77.64259297,Indiranagar,263700,9822,10335,11766,11798,15342,14258,13330,45769
0,12.97706653,77.64259583,Indiranagar,344500,9020,9503,10256,10742,14415,13083,11120,45831
0,12.97704686,77.64453011,Indiranagar,278600,8037,8575,9302,9575,14019,12674,11000,45558
0,12.97762255,77.64121993,Indiranagar,270000,7880,8271,9038,8919,15203,12214,10162,45964
0,12.9781533,77.64233096,Indiranagar,204300,9049,9518,10382,11386,13414,13519,12304,46191
0,12.97814768,77.64288362,Indiranagar,390040,8218,8574,9603,9874,12089,12311,11530,46197
0,12.9778795,77.64260443,Indiranagar,482300,9420,9856,10628,11745,13217,14380,13595,46137
0,12.97870652,77.64123138,Indiranagar,204300,9216,9783,10995,11438,13504,13566,12673,46147
0,12.97597975,77.6428607,Indiranagar,344500,8774,9033,9854,10237,12943,12509,11422,45694
0,12.97597413,77.64341335,Indiranagar,263700,8150,8500,9194,9374,14799,12786,11131,45660
0,13.01073991,77.58214445,Malleshwaram,177000,8746,9152,10023,10655,13815,13569,11940,45891
0,13.01020066,77.58186246,Malleshwaram,203000,8038,8384,9035,9430,14084,12042,9960,45833
0,13.01046066,77.58297077,Malleshwaram,482300,8652,8949,10017,10531,14789,14247,12151,46149
0,13.0099214,77.58268878,Malleshwaram,482300,8417,9083,9661,10475,15143,12994,11395,46030
0,13.0096504,77.58268598,Malleshwaram,286020,9221,9659,10779,10752,14392,13316,11745,46226
0,13.00911114,77.58240399,Malleshwaram,162500,9153,9437,10328,11019,13449,12535,11745,46155
0,13.00937113,77.58351229,Malleshwaram,270000,8832,9448,10638,11778,14301,13516,11997,46378
0,13.00855812,77.58350387,Malleshwaram,204300,9448,9895,11093,11571,15063,13663,12206,45825
0,13.00856363,77.58295113,Malleshwaram,278600,8927,9266,10090,11107,14906,13261,11539,45682
0,13.00856638,77.58267475,Malleshwaram,270000,9467,9945,11210,12333,14325,15541,13830,45683
0,13.00885664,77.58074294,Malleshwaram,263700,8858,9235,10070,10390,12201,12894,12246,45941
0,13.00886214,77.58019019,Malleshwaram,163000,9462,10445,11096,12136,13940,14416,12881,45890
0,13.00886763,77.57963744,Malleshwaram,344500,8062,8426,9668,9769,13863,13230,11919,46068
0,13.00914414,77.57908749,Malleshwaram,163000,8202,8648,9481,9732,13995,12537,10736,45975
0,13.0080711,77.57797078,Malleshwaram,390040,8698,8989,9880,10479,14026,13098,11765,45864
0,13.00832837,77.57935546,Malleshwaram,344500,8967,9821,11160,12437,14099,15037,13488,45840
0,13.00806286,77.57879991,Malleshwaram,270000,8240,9138,10404,11025,13210,13373,11847,45997
0,13.00969439,77.57826397,Malleshwaram,390040,9596,10043,11330,11980,15656,15780,14744,45465
0,13.01104941,77.57827798,Malleshwaram,203000,8995,9487,10560,11069,14446,12685,10910,45665
0,13.0093959,77.58102492,Malleshwaram,162500,8935,9516,10539,11492,14248,13739,12159,45999
0,12.9793363,77.57850327,Malleshwaram,203000,9866,10437,11391,12316,14438,15477,15030,46039
0,12.97963197,77.57601897,Malleshwaram,390040,9475,10039,11320,11779,13435,13502,12539,46554
0,12.97881347,77.57656328,Malleshwaram,203000,9461,9993,11303,11906,13387,13599,12837,46351
0,12.97770753,77.57876284,Malleshwaram,482300,9754,10022,11249,11998,13603,14780,14330,46200
0,12.97716004,77.57930993,Malleshwaram,270000,9465,9792,10630,10951,13326,14165,13755,46266
0,12.97717374,77.57792823,Malleshwaram,205000,9215,9648,10584,11180,12148,13398,12897,46490
0,12.98576353,77.58630814,MG Road,263700,11410,11858,13488,14023,17140,16387,15126,45841
0,12.98522152,77.58630253,MG Road,286020,8601,9057,9859,10509,13693,13566,12138,45921
0,12.98634951,77.58189216,Malleshwaram,278600,9361,9793,10671,11454,13768,13918,12723,46354
0,12.98824655,77.58191177,Malleshwaram,278600,8960,9401,10676,11029,13870,13438,12212,46080
0,12.98743903,77.58135066,Malleshwaram,203000,10041,10231,11345,11892,13908,14586,13971,46521
0,12.98718449,77.57968976,Malleshwaram,344500,9361,9896,11130,11598,13659,14094,13376,46887
0,12.98555572,77.57994932,Malleshwaram,482300,9694,10299,11132,11620,13570,15525,14728,46302
0,12.98473447,77.58076997,Malleshwaram,278600,8842,9431,10391,11032,12181,13490,12738,46412
0,12.98584318,77.57829402,Malleshwaram,203000,9688,10589,11943,12924,14018,14231,13245,46169
0,12.98584866,77.57774132,Malleshwaram,156030,8901,9494,10618,11058,12724,12720,12065,46159
0,12.98477012,77.57717744,Malleshwaram,482300,9781,10334,11157,12262,13647,14598,13391,45981
0,12.98125801,77.57603573,Malleshwaram,204300,9010,9840,10539,11519,11822,12557,11858,46961
0,12.97771575,77.57793382,Malleshwaram,344500,9018,9565,10277,10808,12208,12934,12000,46350
0,12.97824406,77.57932111,Malleshwaram,177000,8913,9415,10253,10711,13275,13130,11762,45975
0,12.97716826,77.57848091,Malleshwaram,163000,9914,10703,11413,12263,13443,15209,14374,46287
0,12.9793226,77.57988498,Malleshwaram,204300,10062,10306,11562,11906,14347,14096,13830,46244
0,12.98016028,77.57740628,Malleshwaram,205000,8064,8966,10633,11037,12350,14004,13776,46266
0,12.9799194,77.5743637,Rajajinagar,204300,9606,9928,10686,11371,12844,13905,13463,46410
0,12.98640438,77.57636516,Malleshwaram,204300,9963,10352,12155,12534,14638,15375,14781,46435
0,12.98721466,77.57664989,Malleshwaram,270000,9035,9583,10754,11246,13118,13485,12697,46407
0,12.9866562,77.57830241,Malleshwaram,204300,9378,10512,11620,12724,14519,15276,14003,46417
0,12.98720095,77.57803165,Malleshwaram,278600,8860,9256,10714,11221,13889,14301,13041,46422
0,12.98558588,77.57690947,Malleshwaram,156030,8497,8954,9659,10155,12903,12941,11836,46067
0,12.98449638,77.57745099,Malleshwaram,263700,9662,10267,11118,11944,13794,14081,12996,46137
0,12.98395437,77.5774454,Malleshwaram,344500,9031,9337,10275,10517,12722,12670,12041,46577
0,12.98421989,77.57800089,Malleshwaram,163000,9907,10402,11860,12392,13256,14037,13422,46309
0,12.98420892,77.57910629,Malleshwaram,278600,9505,9911,11060,11256,12905,13217,12710,46335
0,12.98527922,77.58049922,Malleshwaram,162500,9010,9504,10322,11101,13263,13992,12777,46566
0,12.9855612,77.57939662,Malleshwaram,278600,8015,8447,9403,9556,12358,11684,10380,46044
0,12.98689976,77.58106871,Malleshwaram,156030,9313,9660,10876,11194,14447,13713,12814,46493
0,12.98688878,77.58217411,Malleshwaram,162500,9461,9919,11040,11518,14309,14721,13760,46139
0,12.98716528,77.58162421,Malleshwaram,156030,9222,9518,10583,11301,13179,14084,13093,46494
0,12.98770179,77.58218251,Malleshwaram,390040,9410,9896,10789,11514,13333,14116,13014,46098
0,12.9885203,77.58163821,Malleshwaram,344500,10466,11111,12649,13250,14425,14953,13902,46082
0,12.98611693,77.57802046,Malleshwaram,162500,8265,8991,10145,10761,13671,13101,11983,46199
0,12.98583495,77.57912307,Malleshwaram,156030,9083,9808,11452,12196,13906,15201,14363,46169
0,12.98556395,77.57912027,Malleshwaram,263700,8145,8723,10071,10783,13532,13422,11745,46123
0,12.98662327,77.58161861,Malleshwaram,286020,9093,9672,10905,12079,13636,14789,14041,46422
0,12.98745824,77.5794162,Malleshwaram,156030,9351,10544,11519,12572,13858,15365,13176,46706
0,12.98528471,77.57994652,Malleshwaram,286020,9402,9861,10898,10886,14333,13758,12728,46190
0,12.98582946,77.57967577,Malleshwaram,163000,10402,10888,12236,12857,13945,14947,14712,46312
0,12.98555297,77.58022567,Malleshwaram,204300,9954,10361,11874,12139,13580,15514,14861,46611
0,12.98525726,77.58271,Malleshwaram,163000,9928,10677,11280,12225,14311,14826,13364,46212
0,12.98444699,77.58242525,Malleshwaram,278600,9084,9328,10184,10227,11620,11583,11240,46725
0,12.97879155,77.57877402,Malleshwaram,203000,9576,9931,11134,11501,12990,13691,13359,46254
0,12.97879703,77.57822133,Malleshwaram,390040,9022,9583,10333,10949,12726,14197,12687,46325
0,12.97878607,77.5793267,Malleshwaram,390040,9362,10072,10997,11827,13112,13927,13145,46017
0,13.00775337,77.58266633,Malleshwaram,286020,10933,12085,13284,14562,15877,14672,12441,45856
0,13.00802987,77.58211639,Malleshwaram,390040,8417,8627,9787,9752,14217,12834,11346,45616
0,13.00748786,77.58211078,Malleshwaram,482300,9075,9411,10879,11278,14030,13995,12674,45756
0,13.00775887,77.58211359,Malleshwaram,482300,9249,10094,10916,11782,15053,14026,12140,45775
0,13.00802162,77.58294551,Malleshwaram,205000,8676,8976,9732,10026,14583,13425,11304,45701
0,13.00829813,77.58239557,Malleshwaram,177000,9149,9503,10361,10953,13335,13016,11487,45665
0,13.00803262,77.58184002,Malleshwaram,156030,8346,8897,9895,10453,13416,12824,11429,45866
0,13.00749887,77.58100529,Malleshwaram,204300,8807,9308,10591,11414,13940,14186,12621,45866
0,13.00695686,77.58099968,Malleshwaram,204300,8915,9294,10041,10651,13819,12953,11616,45812
0,13.00695961,77.58072331,Malleshwaram,204300,9496,9795,10786,11329,14001,14916,13421,45845
0,13.00696235,77.58044694,Malleshwaram,263700,9015,9274,9855,10247,14138,13096,11517,45894
0,13.00750436,77.58045254,Malleshwaram,205000,8984,9302,10020,10415,13963,12823,11331,45939
0,13.00801887,77.58322189,Malleshwaram,163000,9288,9600,10604,10880,14549,13531,12158,45766
0,13.00828437,77.58377744,Malleshwaram,204300,8745,9041,9936,10246,12909,13003,11984,45970
0,13.01158593,77.57883634,Malleshwaram,162500,9436,10031,10868,11591,15131,13910,12693,45648
0,13.01213618,77.5780128,Malleshwaram,156030,9258,9424,10878,10939,14386,13727,12001,45792
0,13.01186792,77.57773362,Malleshwaram,163000,9022,9757,10362,11510,13777,13771,12039,45761
0,13.01240169,77.57856836,Malleshwaram,344500,8588,8886,9743,9873,14597,12895,11445,45776
0,13.01158867,77.57855996,Malleshwaram,344500,8293,8894,9822,10469,14881,13668,11557,45682
0,13.01159142,77.57828358,Malleshwaram,204300,8293,8894,9822,10469,14881,13668,11557,45682
0,13.01132042,77.57828078,Malleshwaram,482300,8457,8725,9800,9462,15370,12080,10132,45668
0,13.00693485,77.58321066,Malleshwaram,270000,8601,8858,10143,10386,14374,12784,11671,45969
0,13.00666385,77.58320785,Malleshwaram,177000,7926,8396,9218,9763,15242,12828,10778,45930
0,13.00639559,77.58292868,Malleshwaram,177000,8394,8912,9997,10637,13819,14365,13102,45832
0,13.00612459,77.58292587,Malleshwaram,156030,9801,10584,12093,12950,14250,15635,14758,45846
0,13.00585359,77.58292306,Malleshwaram,344500,9009,9526,10700,11213,13191,13858,12725,46051
0,13.00557983,77.58319663,Malleshwaram,263700,7991,8301,9403,9665,12801,12733,11330,46167
0,13.00638734,77.58375779,Malleshwaram,278600,8231,8669,9571,10606,13170,12506,11318,46117
0,13.00584533,77.58375218,Malleshwaram,203000,9449,9909,11360,11772,13107,14076,14281,46308
0,13.00584533,77.58375218,Malleshwaram,278600,9449,9909,11360,11772,13107,14076,14281,46308
2,13.00355459,77.62297623,Indiranagar,100000,9901,10442,11447,12179,13802,14357,13362,46312
2,13.00328638,77.62269702,Indiranagar,97000,8938,9401,10816,11442,14567,13786,12303,46258
2,13.00274439,77.62269133,Indiranagar,97000,10704,11142,12998,13091,16370,14476,11965,46067
2,13.00246781,77.6232412,Indiranagar,100400,8908,9487,10399,10856,13442,12911,11953,45972
2,13.00246502,77.62351755,Indiranagar,111450,8867,9256,10296,10866,13107,13474,12458,45995
2,13.00273322,77.62379676,Indiranagar,90000,8883,9331,10856,11481,13960,14236,12838,46079
2,13.00300142,77.62407597,Indiranagar,95000,8029,8491,9514,9707,13817,11741,10269,46012
2,13.00219402,77.62351471,Indiranagar,100400,8491,8957,9925,10253,13128,12862,11625,45925
2,13.00381441,77.62408452,Indiranagar,94800,9030,9602,10862,11771,14869,15911,14848,45944
2,13.00245104,77.62489934,Indiranagar,90000,9022,9526,10631,11317,13634,14971,13455,46093
2,13.00163806,77.62489079,Indiranagar,105200,10003,10895,12282,12697,14922,15984,15178,45975
2,13.00137265,77.62433523,Indiranagar,94800,7870,8336,9314,9695,13880,12757,10931,45892
2,13.00353503,77.62491075,Indiranagar,94800,8656,9387,10322,10954,14568,13152,11310,45846
2,13.00356297,77.62214715,Indiranagar,150000,9809,10563,12055,13427,15061,16620,14889,46340
2,13.00274998,77.62213861,Indiranagar,100000,8412,8916,9964,10198,12582,12105,11347,46091
2,13.00220799,77.62213292,Indiranagar,90000,8248,8782,9999,10451,14145,13073,11870,45914
2,13.00193141,77.62268278,Indiranagar,90000,8651,9464,10994,11786,14956,14372,13181,45857
2,13.00165203,77.62350901,Indiranagar,100400,8613,8967,9876,10086,13118,12659,11701,45846
2,13.00111563,77.6229506,Indiranagar,105200,8167,8730,9884,10238,14453,12821,11319,45910
2,13.00112121,77.62239788,Indiranagar,111450,8270,8945,10564,10941,14079,14224,13123,45914
2,13.00541421,77.59977875,Malleshwaram,111450,9258,9992,11453,12529,14240,14472,13541,46507
2,13.0054059,77.60060785,Malleshwaram,95000,9873,10617,11829,12482,14102,14938,14335,46510
2,13.0045929,77.60059937,MG Road,122000,11540,11830,13341,13769,14909,15579,15272,46560
2,13.00460121,77.59977028,Malleshwaram,95000,8720,9036,9987,10336,13889,13381,11892,46754
2,13.00566859,77.60143977,Hebbal,90000,9826,10601,11539,12075,13922,14999,14233,46478
2,13.00594513,77.60088986,Hebbal,120000,8625,9092,10286,10882,12943,13301,12557,46424
2,13.00595067,77.60033713,Malleshwaram,122000,9326,10083,11922,12217,13461,14233,13619,46402
2,13.00541975,77.59922601,Malleshwaram,94800,9137,9674,11036,11741,13411,14157,13727,46480
2,13.00460674,77.59921754,Malleshwaram,105200,9278,9837,10940,11418,16610,15488,13551,46822
2,13.00595621,77.5997844,Malleshwaram,120000,8520,9106,10785,11414,13542,14354,13695,46456
2,13.00515705,77.59839409,Malleshwaram,95000,9158,9893,11368,12337,13956,14917,13971,46451
2,13.00514598,77.59949956,Malleshwaram,120000,9105,9880,11139,11819,13533,13900,13103,46534
2,13.00704021,77.59979569,Hebbal,95000,10342,11031,12377,13093,14735,14731,13823,46284
2,13.00650652,77.59896094,Malleshwaram,105200,11662,12460,14008,15028,16630,19580,19396,46304
2,13.00649267,77.60034278,Hebbal,97000,9144,9697,11123,11459,13142,14493,14015,46416
2,13.00648713,77.60089552,Hebbal,95000,9415,9987,11279,12023,13625,14486,13725,46427
2,13.00621613,77.60089269,Hebbal,100400,9552,10354,11600,12702,14608,14697,13141,46450
2,13.00621059,77.60144542,Hebbal,95000,9443,10078,11342,12003,13798,13992,13049,46496
2,13.00513213,77.60088139,MG Road,95000,9473,10215,11242,12228,14123,14720,13437,46527
2,13.00569075,77.59922884,Malleshwaram,94800,9284,9911,11205,11940,13712,13976,13114,46457
2,13.003278,77.6235261,Indiranagar,100400,8856,9275,10207,10641,13436,13604,12575,46208
2,13.00436757,77.62298478,Indiranagar,94800,9000,9514,10780,11576,12857,14035,13494,46215
2,13.00437595,77.6221557,Indiranagar,150000,9818,10346,11826,12678,15265,15415,14066,46161
