Class,latitude,longitude,Location,Guidance Value(Rs. per square meter.),Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8
0,12.925059,77.62634435,Koramangala,278600,7461,7567,10373,11362,16023,16543,14660,42639
0,12.92506456,77.6257918,Koramangala,482300,447,2609,7341,7072,10567,10961,10069,43294
0,12.92534111,77.62524209,Koramangala,286020,5581,6150,8274,7814,10431,10012,9337,43226
0,12.92612351,77.6282896,Koramangala,278600,7822,8478,10342,10201,14709,13151,11078,42450
0,12.92558986,77.62745511,Koramangala,156030,8447,8619,12050,12242,16947,16601,14709,41761
0,12.92693371,77.62857438,Koramangala,263700,9013,9581,11038,11518,15169,14631,12437,43570
0,12.92802048,77.62830946,Koramangala,177000,9386,9708,11302,11712,15194,15220,12995,44372
0,12.92773835,77.62941172,Koramangala,270000,9040,9551,10904,11907,14848,16201,14066,44277
0,12.92772721,77.63051682,Koramangala,203000,8805,9239,10757,10815,14154,13408,11897,44388
0,12.92882512,77.6291468,Koramangala,482300,9650,10132,11684,12056,14927,15835,15105,44561
0,12.92828312,77.62914112,Koramangala,177000,8374,8668,9899,9621,15662,12802,10686,44410
0,12.9285736,77.62721003,Koramangala,278600,8535,8919,10217,10269,14635,13724,12091,44170
0,12.92830817,77.62665464,Koramangala,344500,9160,9633,11060,11617,16132,15598,12881,43601
0,12.92966593,77.62639255,Koramangala,270000,9359,9703,11188,11356,15178,13642,11819,44222
0,12.9294005,77.62583716,Koramangala,390040,8719,9174,10567,10711,14989,13861,12046,44122
0,12.93946352,77.62235035,Koramangala,203000,12019,12979,15244,15951,20088,20779,18560,43121
0,12.9389243,77.62206839,Koramangala,278600,16330,17123,17937,19264,23089,22818,20315,43129
0,12.93863663,77.62372329,Koramangala,344500,8827,9486,10761,11027,12986,12769,11355,44540
0,12.93972061,77.62373463,Koramangala,156030,9585,10804,11256,11339,15509,14472,13502,43837
0,12.93811131,77.62205989,Koramangala,390040,2942,3083,8998,9274,13975,13098,11723,44033
0,12.93784031,77.62205706,Koramangala,156030,1830,4662,9571,9558,12386,12379,11300,44333
0,12.93839342,77.62095757,Koramangala,203000,22315,23115,24229,25135,28061,27958,25175,42314
0,12.93920641,77.62096607,Koramangala,162500,14813,15338,17566,18758,22788,23218,20478,41805
0,12.93974285,77.62152431,Koramangala,390040,17046,17811,18849,20168,24108,23663,20877,42156
0,12.94027373,77.62263514,Koramangala,205000,6021,6205,8278,9353,14525,14461,13175,42957
0,12.93890206,77.6242787,Koramangala,344500,8775,9522,11220,11609,13331,12550,11528,44460
0,12.93809185,77.6239939,Koramangala,344500,9639,10376,11674,12220,14723,14545,13287,44601
0,12.93920919,77.62068978,Koramangala,162500,12408,12949,15451,16631,20547,20933,18208,41756
0,12.9400194,77.62097457,Koramangala,177000,17584,17984,19690,20533,24600,24168,21478,41936
0,12.94028485,77.62152998,Koramangala,263700,16133,16647,19289,19865,23462,23492,20814,42272
0,12.93579706,77.60960152,Koramangala,205000,10380,10847,12369,12404,15855,15880,14264,44117
0,12.93633906,77.60960715,Koramangala,270000,10194,11198,13359,13785,16410,16923,14528,43834
0,12.93766916,77.61210786,Koramangala,162500,9989,10196,12013,12050,14810,14983,13880,43945
0,12.93683678,77.61403341,Koramangala,162500,9910,10301,11828,11747,14150,14641,13524,43943
0,12.93738708,77.61321019,Koramangala,263700,8801,9226,10370,10394,14713,13315,11614,43927
0,12.93519416,77.61567418,Koramangala,278600,9258,9814,11307,11573,14424,14177,13266,44749
0,12.93546793,77.61540072,Koramangala,263700,9229,9543,11336,11604,15366,15504,14002,44702
0,12.9362837,77.61513291,Koramangala,156030,9454,10462,11695,12124,14944,16165,15298,44641
0,12.93628924,77.61458033,Koramangala,163000,9092,9722,11385,11531,14178,14535,13326,44302
0,12.93709946,77.61486509,Koramangala,205000,8800,9261,10713,10780,15198,14323,12355,43919
0,12.94570201,77.62186294,Koramangala,344500,9000,10230,12115,13025,16007,15527,12787,44268
0,12.94515167,77.62268616,Koramangala,204300,10003,10882,12796,13457,17985,16709,13687,44255
0,12.94515723,77.62213357,Koramangala,162500,9793,10683,12672,13293,16643,16226,13869,44205
0,12.94652056,77.62131885,Koramangala,162500,8515,9072,10466,10836,12949,13460,12286,44126
0,12.94624956,77.62131602,Koramangala,278600,8955,9693,11143,11423,12932,12347,11322,44158
0,12.94623288,77.6229738,Koramangala,390040,9197,9931,11612,11975,13951,14083,12525,44418
0,12.94704865,77.62270601,Koramangala,205000,8722,9332,10641,11052,12587,12897,11867,44376
0,12.94759342,77.62243538,Koramangala,270000,9058,9720,11005,11661,13542,15174,14091,44256
0,12.9747935,77.63957799,Indiranagar,205000,9200,9807,11668,12003,15294,14981,13493,44714
0,12.97424871,77.63984859,Indiranagar,204300,9144,9808,11328,11732,13874,14150,12776,44612
0,12.97424029,77.64067756,Indiranagar,163000,8970,9588,10901,11509,14985,14660,12752,44370
0,12.97423187,77.64150653,Indiranagar,286020,8874,9492,11148,11683,15062,16165,14281,44329
0,12.97423468,77.64123021,Indiranagar,263700,8831,9341,10938,10908,16317,14821,12509,44358
0,12.97560648,77.63958657,Indiranagar,344500,9173,9813,11364,12046,15039,15520,13634,44546
0,12.97533829,77.63930738,Indiranagar,177000,9054,9820,11476,12367,15474,15442,13475,44616
0,12.97371234,77.63929022,Indiranagar,205000,9837,10450,12167,12899,14884,15551,14355,44686
0,12.97369831,77.64067184,Indiranagar,278600,8650,9210,10713,11330,14339,14551,12872,44220
0,12.97315632,77.64066611,Indiranagar,286020,10588,11292,13477,13800,17331,17067,14849,44116
0,12.97288253,77.64093958,Indiranagar,278600,12228,13198,15246,15679,18837,18344,15876,44174
